batch_id,inference_time
0,0.010729800000262912
1,0.008861800000886433
2,0.007294099999853643
3,0.005984699997497955
4,0.006918099999893457
5,0.007113800002116477
6,0.00752709999869694
7,0.0068941999998060055
8,0.006320199998299358
9,0.007185099999333033
10,0.005940400002145907
11,0.006422900001780363
12,0.005984600000374485
13,0.005924799999775132
14,0.00721230000272044
15,0.006630500000028405
16,0.007855200001358753
17,0.0073088999997708015
18,0.007333099998504622
19,0.0060092000021541025
20,0.0059808000005432405
21,0.007612499997776467
22,0.006465300000854768
23,0.007708000001002802
24,0.006985800002439646
25,0.00785109999924316
26,0.006597199997486314
27,0.0076652999996440485
28,0.0070328000001609325
29,0.007828300000255695
30,0.0065920999986701645
31,0.006589799999346724
32,0.007195800000772579
33,0.006343000000924803
34,0.007179000000178348
35,0.006586800001969095
36,0.008232899999711663
37,0.006485099998826627
38,0.006805500001064502
39,0.006926899997779401
40,0.00655420000111917
41,0.007687000001169508
42,0.0065390999989176635
43,0.008022099998925114
44,0.007825900000170805
45,0.00727760000154376
46,0.0059518999987631105
47,0.006366399997205008
48,0.007605199996760348
49,0.007479200001398567
50,0.0076721000004909
51,0.007253299998410512
52,0.008063199999014614
53,0.006975100001000101
54,0.00814370000080089
55,0.007612200002768077
56,0.007642699998541502
57,0.006276399999478599
58,0.007477799998014234
59,0.00636070000109612
60,0.00784370000110357
61,0.0071519999983138405
62,0.007602499998029089
63,0.006016700001055142
64,0.0059142999998584855
65,0.007680599999730475
66,0.007749899999907939
67,0.008526500001607928
68,0.006367000001773704
69,0.007757299998047529
70,0.007748899999569403
71,0.007881400000769645
72,0.007025700000667712
73,0.007242499999847496
74,0.006038100000296254
75,0.0059568999968178105
76,0.00756540000293171
77,0.007383399999525864
78,0.007515199999033939
79,0.0065341000008629635
80,0.0073118000000249594
81,0.006053000000974862
82,0.006080899998778477
83,0.008234699998865835
84,0.007905700000264915
85,0.0060818000019935425
86,0.0059261999995214865
87,0.00677690000156872
88,0.006023699999786913
89,0.006292899997788481
90,0.008043900001212023
91,0.008009000001038658
92,0.006679699999949662
93,0.006732499998179264
94,0.008051299999351613
95,0.007406299999274779
96,0.007545100001152605
97,0.006169300002511591
98,0.008154899998771725
99,0.0085624999992433
100,0.008687100002134684
101,0.006405699998140335
102,0.007554399999207817
103,0.007069999999657739
104,0.00813180000113789
105,0.007904699999926379
106,0.007708100001764251
107,0.005967599998257356
108,0.00590119999833405
109,0.00732140000036452
110,0.007128199998987839
111,0.007666100002097664
112,0.0069810999993933365
113,0.008033600002818275
114,0.00701649999973597
115,0.007966299999679904
116,0.007701300000917399
117,0.009139800000411924
118,0.006531200000608806
119,0.00756080000064685
120,0.00703100000100676
121,0.007633299999724841
122,0.008337399998708861
123,0.009233999997377396
124,0.00817540000207373
125,0.007895999999163905
126,0.006853099999716505
127,0.007530999999289634
128,0.006577299998753006
129,0.00668260000020382
130,0.006516999997984385
131,0.005934500000876142
132,0.007061500000418164
133,0.006016699997417163
134,0.0062539999998989515
135,0.006339500003377907
136,0.005927199999860022
137,0.007858100001612911
138,0.007783299999573501
139,0.008010500001546461
140,0.007002499998634448
141,0.007926799997221678
